Reading input data for 2Sum Problem.
No. of numbers: 1000000

2Sum matches.
Resolved: -9967 -2131108243 2131098276
Resolved: -9966 60154919494 -60154929460
Resolved: -9874 -16588925253 16588915379
Resolved: -9873 22650821284 -22650831157
Resolved: -9780 30618541003 -30618550783
Resolved: -9779 -2257917124 2257907345
Resolved: -9780 30618541003 -30618550783
Resolved: -9779 -2257917124 2257907345
Resolved: -9687 76908686187 -76908695874
Resolved: -9686 53372497928 -53372507614
Resolved: -9594 44767594311 -44767603905
Resolved: -9593 68661283035 -68661292628
Resolved: -9501 -75467192278 75467182777
Resolved: -9500 16489925662 -16489935162
Resolved: -9408 -86353037035 86353027627
Resolved: -9407 43727292653 -43727302060
Resolved: -9315 84682286709 -84682296024
Resolved: -9314 -98129517957 98129508643
Resolved: -9222 -2299003631 2298994409
Resolved: -9221 79024913897 -79024923118
Resolved: -9128 24623670859 -24623679987
Resolved: -9127 -22840945573 22840936446
Resolved: -9035 -59068982750 59068973715
Resolved: -9034 -25556001312 25555992278
Resolved: -8942 45555256002 -45555264944
Resolved: -8941 -10675668023 10675659082
Resolved: -8849 -53230619968 53230611119
Resolved: -8848 92754651230 -92754660078
Resolved: -8756 45510056682 -45510065438
Resolved: -8755 25778336509 -25778345264
Resolved: -8663 -85094039881 85094031218
Resolved: -8662 -70968676811 70968668149
Resolved: -8570 16047022638 -16047031208
Resolved: -8569 34197464554 -34197473123
Resolved: -8477 -281675487 281667010
Resolved: -8476 85075739857 -85075748333
Resolved: -8383 -35765698988 35765690605
Resolved: -8382 69947053478 -69947061860
Resolved: -8290 -71380996226 71380987936
Resolved: -8289 23656913975 -23656922264
Resolved: -8197 49954176484 -49954184681
Resolved: -8196 -78273408105 78273399909
Resolved: -8104 -85235247196 85235239092
Resolved: -8103 -67388534438 67388526335
Resolved: -8011 -60904361104 60904353093
Resolved: -8010 79484824733 -79484832743
Resolved: -7918 -22878728120 22878720202
Resolved: -7917 23919296788 -23919304705
Resolved: -7825 2024644101 -2024651926
Resolved: -7824 -52950963263 52950955439
Resolved: -7731 -91324198429 91324190698
Resolved: -7730 89511173493 -89511181223
Resolved: -7638 -11357833218 11357825580
Resolved: -7637 1330350014 -1330357651
Resolved: -7545 21483191438 -21483198983
Resolved: -7544 520367315 -520374859
Resolved: -7452 65802901501 -65802908953
Resolved: -7451 -96497312280 96497304829
Resolved: -7359 -47443084954 47443077595
Resolved: -7358 43249353740 -43249361098
Resolved: -7266 22609151118 -22609158384
Resolved: -7265 94111994278 -94112001543
Resolved: -7173 30700397272 -30700404445
Resolved: -7172 50587043422 -50587050594
Resolved: -7080 57265665175 -57265672255
